OBJECTID,PREFIX,NAME,TYPE,SUFFIX,POLICENAME,POLICETYPE,Date_Added,Editor,Method,FULLPOLNAME,CarteID,CrossStreetA,CrossStreetB,Date_Changed,FULL_NAME,LF_Addr,LT_Addr,RF_Addr,RT_Addr,MATERIAL,OWNER,FUNCTIONALCLASSIFICATION,JURISDICTION,ROUTESYSTEM,ROUTENUMBER,SpeedLimit,Scenic,RowWidth,AcceptDate,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNILEFT,MUNIRIGHT,ZIPLEFT,ZIPRIGHT,STATELEFT,STATERIGHT,OneWay
1, ,PULPIT HILL,RD, ,PULPIT HILL,RD,,OlkinM,,PULPIT HILL RD,,MILL ST, ,,PULPIT HILL RD,122,524,121,525,2,1,0,2,,,,1,33',1759/04/15 00:00:00+00,{504DD01D-5BE6-437A-AA88-65D9E4561233},,,olkinm,2013/07/29 19:12:42+00,AMHERST,AMHERST,01002,01002,MA,MA,
2, ,PULPIT HILL,RD, ,PULPIT HILL,RD,,,,PULPIT HILL RD,00321,,LEVERETT RD,,PULPIT HILL RD,526,582,527,583,1,1,0,2,,,,1,33',1759/04/15 00:00:00+00,{021127C6-DEAC-4682-990E-E1A9E760043B},,,olkinm,2013/07/29 19:13:30+00,AMHERST,AMHERST,01002,01002,MA,MA,
3,S,ORCHARD,DR, ,SOUTH ORCHARD,DR,,,,SOUTH ORCHARD DR,00039,MIDDLE ST,BARRY CIR,,S ORCHARD DR,4,4,5,15,1,1,0,2,,,,,50',,{A2F53F9C-3359-4D1C-97C5-9CA33DA35FC9},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
4, ,RAMBLING,RD, ,RAMBLING,RD,,,,RAMBLING RD,00103,AUTUMN LN,MCINTOSH DR,,RAMBLING RD,42,94,43,85,1,1,0,2,,,,,49.21',,{8BF9253A-6B7B-47CF-8506-5644E86AD9A0},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
5, ,ELF HILL,RD, ,ELF HILL,RD,,,,ELF HILL RD,00159,STAGECOACH RD,ORCHARD ST & HULST RD,,ELF HILL RD,34,52,35,55,1,1,0,2,,,,,50',,{72506E70-5A29-4ACE-997E-944B9194783D},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
6, ,ARROWHEAD,LN, ,ARROWHEAD,LN,,,,ARROWHEAD LN,00166,STAGECOACH RD,HULST RD,,ARROWHEAD LN,0,0,0,0,1,1,0,2,,,,,50',1973/03/01 00:00:00+00,{D1C4ED8E-E7CB-4E8C-8D5D-D28EDEAE86A6},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
7, ,STAGECOACH,RD, ,STAGECOACH,RD,,,,STAGECOACH RD,00173,ARROWHEAD LN,HULST RD,,STAGECOACH RD,52,88,53,81,1,1,0,2,,,,,50',,{005D8FA8-C187-4254-9DC1-8667F5CE055C},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
8, ,STAGECOACH,RD, ,STAGECOACH,RD,,,,STAGECOACH RD,00173,ELF HILL RD,ARROWHEAD LN,,STAGECOACH RD,4,48,11,47,1,1,0,2,,,,,50',,{C75AB6A3-29F6-4189-8E4A-C080D39B2551},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
9, ,HULST,RD, ,HULST,RD,,,,HULST RD,00178,BAY RD,STAGECOACH RD,,HULST RD,4,30,5,29,1,8,0,2,,,,,49.5',,{F5057BC8-55E8-4412-8E08-FD3BBC02215F},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
10, ,BAY,RD, ,BAY,RD,,,,BAY RD,00364,S EAST ST & CANTERBURY LN,HULST RD,,BAY RD,870,1050,867,1045,1,8,5,2,,,,1,Variable,6732/04/15 00:00:00+00,{62F26C28-3654-4C1C-B59D-6AFB3F24AB14},,,olkinm,2013/07/29 18:29:04+00,AMHERST,AMHERST,01002,01002,MA,MA,
12, ,COUNTRY CORNERS,, ,COUNTRY CORNERS,,,OlkinM,,COUNTRY CORNERS,00104,WEST ST,RAMBLING RD,2005/03/10 00:00:00+00,COUNTRY CORNERS,15,27,16,28,1,1,0,2,,,,,49.213',1975/05/01 00:00:00+00,{21D86FD0-920E-4733-992E-84D9E1EB8E31},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
13, ,RAMBLING,RD, ,RAMBLING,RD,,,,RAMBLING RD,00103,COUNTRY CORNERS,AUTUMN LN,,RAMBLING RD,0,0,0,0,1,1,0,2,,,,,49.21',,{14DF6A68-E920-4094-BD39-E885EF03B928},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
14, ,COUNTRY CORNERS,, ,COUNTRY CORNERS,,,OlkinM,,COUNTRY CORNERS,00104,RAMBLING RD,END,2005/03/10 00:00:00+00,COUNTRY CORNERS,33,75,34,68,1,1,0,2,,,,,49.213',1975/05/01 00:00:00+00,{6D95D2CB-4260-4DCF-9EF0-D2BD095B8A69},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
